"Survey Number","Name of State / UT","Latitude","Longitude","Class","Owner"
"552","Kerala","10.8505","76.2711","Residential Area","Aditya Chopra"
"321","Kerala","10.8505","76.2711","Non-Agricultural","Alisha Das"
"691","Kerala","10.8505","76.2711","Non-Agricultural","Anika Gupta"
"897","Kerala","10.8505","76.2711","Non-Agricultural","Arjun Jain"
"759","Kerala","10.8505","76.2711","Non-Agricultural","Ayush Khanna"
"822","Kerala","10.8505","76.2711","Agricultural Area","Chetan Kumar"
"952","Kerala","10.8505","76.2711","Non-Agricultural","Deepak Mehta"
"252","Kerala","10.8505","76.2711","Agricultural Area","Divya Patel"
"229","Kerala","10.8505","76.2711","Non-Agricultural","Gaurav Sharma"
"447","Kerala","10.8505","76.2711","Non-Agricultural","Ishaan Singh"
"404","Kerala","10.8505","76.2711","Agricultural Area","Jasmine Srivastava"
"911","Kerala","10.8505","76.2711","Agricultural Area","Kavita Trivedi"
"230","Kerala","10.8505","76.2711","Residential Area","Mohan Verma"
"322","Kerala","10.8505","76.2711","Agricultural Area","Neha Agarwal"
"126","Kerala","10.8505","76.2711","Non-Agricultural","Pooja Bhatia"
"636","Kerala","10.8505","76.2711","Non-Agricultural","Rahul Chopra"
"145","Kerala","10.8505","76.2711","Residential Area","Riya Das"
"804","Kerala","10.8505","76.2711","Non-Agricultural","Sahil Gupta"
"976","Kerala","10.8505","76.2711","Non-Agricultural","Sakshi Jain"
"572","Kerala","10.8505","76.2711","Residential Area","Sanjay Khanna"
"613","Kerala","10.8505","76.2711","Residential Area","Shreya Kumar"
"341","Kerala","10.8505","76.2711","Residential Area","Tanvi Mehta"
"927","Kerala","10.8505","76.2711","Residential Area","Varun Patel"
"114","Kerala","10.8505","76.2711","Non-Agricultural","Yash Sharma"
"452","Kerala","10.8505","76.2711","Residential Area","Aarav Agarwal"
"268","Kerala","10.8505","76.2711","Non-Agricultural","Aarti Bhatia"
"366","Kerala","10.8505","76.2711","Non-Agricultural","Aditya Chopra"
"803","Kerala","10.8505","76.2711","Agricultural Area","Alisha Das"
"266","Kerala","10.8505","76.2711","Non-Agricultural","Anika Gupta"
"690","Kerala","10.8505","76.2711","Agricultural Area","Arjun Jain"
"448","Kerala","10.8505","76.2711","Agricultural Area","Ayush Khanna"
"856","Kerala","10.8505","76.2711","Residential Area","Chetan Kumar"
"670","Delhi","28.7041","77.1025","Residential Area","Deepak Mehta"
"701","Kerala","10.8505","76.2711","Residential Area","Divya Patel"
"879","Telengana","18.1124","79.0193","Residential Area","Gaurav Sharma"
"297","Delhi","28.7041","77.1025","Agricultural Area","Ishaan Singh"
"326","Kerala","10.8505","76.2711","Agricultural Area","Jasmine Srivastava"
"743","Telengana","18.1124","79.0193","Agricultural Area","Kavita Trivedi"
"280","Delhi","28.7041","77.1025","Agricultural Area","Mohan Verma"
"612","Haryana","29.0588","76.0856","Non-Agricultural","Neha Agarwal"
